						
買う	Present Positive Plain<br>買う<br>(C1)
愛しませんでした	Past Negative Polite<br>愛する<br>(M1)
愛して	-te Form<br>愛する<br>(M1)
愛しよう	Volitional<br>愛する<br>(M1)
愛せる	Potential<br>愛する<br>(M1)
愛される	Passive<br>愛する<br>(M1)
愛させる	Causative<br>愛する<br>(M1)
愛せ	Imperative<br>愛する<br>(M1)
愛せば	Conditional<br>愛する<br>(M1)
化する	Present Positive Plain<br>化する<br>(M2)
化しない	Present Negative Plain<br>化する<br>(M2)
化します	Present Positive Polite<br>化する<br>(M2)
化しません	Present Negative Polite<br>化する<br>(M2)
化した	Past Positive Plain<br>化する<br>(M2)
化さなかった	Past Negative Plain<br>化する<br>(M2)
化しました	Past Positive Polite<br>化する<br>(M2)
化しませんでした	Past Negative Polite<br>化する<br>(M2)
化して	-te Form<br>化する<br>(M2)
化そう	Volitional<br>化する<br>(M2)
化せる	Potential<br>化する<br>(M2)
化される	Passive<br>化する<br>(M2)
化させる	Causative<br>化する<br>(M2)
化せよ	Imperative<br>化する<br>(M2)
化せば	Conditional<br>化する<br>(M2)
属する	Present Positive Plain<br>属する<br>(M3)
属さない	Present Negative Plain<br>属する<br>(M3)
属します	Present Positive Polite<br>属する<br>(M3)
属しません	Present Negative Polite<br>属する<br>(M3)
属した	Past Positive Plain<br>属する<br>(M3)
属さなかった	Past Negative Plain<br>属する<br>(M3)
属しました	Past Positive Polite<br>属する<br>(M3)
属しませんでした	Past Negative Polite<br>属する<br>(M3)
属して	-te Form<br>属する<br>(M3)
属しよう	Volitional<br>属する<br>(M3)
属せる	Potential<br>属する<br>(M3)
属される	Passive<br>属する<br>(M3)
属させる	Causative<br>属する<br>(M3)
属せ	Imperative<br>属する<br>(M3)
属せば	Conditional<br>属する<br>(M3)
待つ	Present Positive Plain<br>待つ<br>(N1)
待たない	Present Negative Plain<br>待つ<br>(N1)
待ちます	Present Positive Polite<br>待つ<br>(N1)
待ちません	Present Negative Polite<br>待つ<br>(N1)
待った	Past Positive Plain<br>待つ<br>(N1)
待たなかった	Past Negative Plain<br>待つ<br>(N1)
待ちました	Past Positive Polite<br>待つ<br>(N1)
待ちませんでした	Past Negative Polite<br>待つ<br>(N1)
待って	-te Form<br>待つ<br>(N1)
待とう	Volitional<br>待つ<br>(N1)
待てる	Potential<br>待つ<br>(N1)
待たれる	Passive<br>待つ<br>(N1)
待たせる	Causative<br>待つ<br>(N1)
待て	Imperative<br>待つ<br>(N1)
待てば	Conditional<br>待つ<br>(N1)
持つ	Present Positive Plain<br>持つ<br>(N2)
持たない	Present Negative Plain<br>持つ<br>(N2)
持ちます	Present Positive Polite<br>持つ<br>(N2)
持ちません	Present Negative Polite<br>持つ<br>(N2)
持った	Past Positive Plain<br>持つ<br>(N2)
持たなかった	Past Negative Plain<br>持つ<br>(N2)
持ちました	Past Positive Polite<br>持つ<br>(N2)
持ちませんでした	Past Negative Polite<br>持つ<br>(N2)
持って	-te Form<br>持つ<br>(N2)
持とう	Volitional<br>持つ<br>(N2)
持てる	Potential<br>持つ<br>(N2)
持たれる	Passive<br>持つ<br>(N2)
持たせる	Causative<br>持つ<br>(N2)
持て	Imperative<br>持つ<br>(N2)
持てば	Conditional<br>持つ<br>(N2)
立つ	Present Positive Plain<br>立つ<br>(N3)
立たない	Present Negative Plain<br>立つ<br>(N3)
立ちます	Present Positive Polite<br>立つ<br>(N3)
立ちません	Present Negative Polite<br>立つ<br>(N3)
立った	Past Positive Plain<br>立つ<br>(N3)
立たなかった	Past Negative Plain<br>立つ<br>(N3)
立ちました	Past Positive Polite<br>立つ<br>(N3)
立ちませんでした	Past Negative Polite<br>立つ<br>(N3)
立って	-te Form<br>立つ<br>(N3)
立とう	Volitional<br>立つ<br>(N3)
立てる	Potential<br>立つ<br>(N3)
立たれる	Passive<br>立つ<br>(N3)
立たせる	Causative<br>立つ<br>(N3)
立て	Imperative<br>立つ<br>(N3)
立てば	Conditional<br>立つ<br>(N3)
在る	Present Positive Plain<br>在る<br>(O1)
在らない	Present Negative Plain<br>在る<br>(O1)
在ります	Present Positive Polite<br>在る<br>(O1)
在りません	Present Negative Polite<br>在る<br>(O1)
在った	Past Positive Plain<br>在る<br>(O1)
在らなかった	Past Negative Plain<br>在る<br>(O1)
在りました	Past Positive Polite<br>在る<br>(O1)
在りませんでした	Past Negative Polite<br>在る<br>(O1)
在って	-te Form<br>在る<br>(O1)
在ろう	Volitional<br>在る<br>(O1)
在れる	Potential<br>在る<br>(O1)
在られる	Passive<br>在る<br>(O1)
在らせる	Causative<br>在る<br>(O1)
在れ	Imperative<br>在る<br>(O1)
在れば	Conditional<br>在る<br>(O1)
問う	Present Positive Plain<br>問う<br>(P1)
問わない	Present Negative Plain<br>問う<br>(P1)
問います	Present Positive Polite<br>問う<br>(P1)
問いません	Present Negative Polite<br>問う<br>(P1)
問った	Past Positive Plain<br>問う<br>(P1)
問わなかった	Past Negative Plain<br>問う<br>(P1)
問いました	Past Positive Polite<br>問う<br>(P1)
問いませんでした	Past Negative Polite<br>問う<br>(P1)
問って	-te Form<br>問う<br>(P1)
問おう	Volitional<br>問う<br>(P1)
問える	Potential<br>問う<br>(P1)
問われる	Passive<br>問う<br>(P1)
問わせる	Causative<br>問う<br>(P1)
問え	Imperative<br>問う<br>(P1)
問えば	Conditional<br>問う<br>(P1)
呼ぶ	Present Positive Plain<br>呼ぶ<br>(Q1)
呼ばない	Present Negative Plain<br>呼ぶ<br>(Q1)
呼びます	Present Positive Polite<br>呼ぶ<br>(Q1)
呼びません	Present Negative Polite<br>呼ぶ<br>(Q1)
呼んだ	Past Positive Plain<br>呼ぶ<br>(Q1)
呼ばなかった	Past Negative Plain<br>呼ぶ<br>(Q1)
呼びました	Past Positive Polite<br>呼ぶ<br>(Q1)
呼びませんでした	Past Negative Polite<br>呼ぶ<br>(Q1)
呼んで	-te Form<br>呼ぶ<br>(Q1)
呼ぼう	Volitional<br>呼ぶ<br>(Q1)
呼べる	Potential<br>呼ぶ<br>(Q1)
呼ばれる	Passive<br>呼ぶ<br>(Q1)
呼ばせる	Causative<br>呼ぶ<br>(Q1)
呼べ	Imperative<br>呼ぶ<br>(Q1)
呼べば	Conditional<br>呼ぶ<br>(Q1)
学ぶ	Present Positive Plain<br>学ぶ<br>(Q2)
学ばない	Present Negative Plain<br>学ぶ<br>(Q2)
学びます	Present Positive Polite<br>学ぶ<br>(Q2)
学びません	Present Negative Polite<br>学ぶ<br>(Q2)
学んだ	Past Positive Plain<br>学ぶ<br>(Q2)
学ばなかった	Past Negative Plain<br>学ぶ<br>(Q2)
学びました	Past Positive Polite<br>学ぶ<br>(Q2)
学びませんでした	Past Negative Polite<br>学ぶ<br>(Q2)
学んで	-te Form<br>学ぶ<br>(Q2)
学ぼう	Volitional<br>学ぶ<br>(Q2)
学べる	Potential<br>学ぶ<br>(Q2)
学ばれる	Passive<br>学ぶ<br>(Q2)
学ばせる	Causative<br>学ぶ<br>(Q2)
学べ	Imperative<br>学ぶ<br>(Q2)
学べば	Conditional<br>学ぶ<br>(Q2)
並ぶ	Present Positive Plain<br>並ぶ<br>(Q3)
並ばない	Present Negative Plain<br>並ぶ<br>(Q3)
並びます	Present Positive Polite<br>並ぶ<br>(Q3)
並びません	Present Negative Polite<br>並ぶ<br>(Q3)
並んだ	Past Positive Plain<br>並ぶ<br>(Q3)
並ばなかった	Past Negative Plain<br>並ぶ<br>(Q3)
並びました	Past Positive Polite<br>並ぶ<br>(Q3)
並びませんでした	Past Negative Polite<br>並ぶ<br>(Q3)
並んで	-te Form<br>並ぶ<br>(Q3)
並ぼう	Volitional<br>並ぶ<br>(Q3)
並べる	Potential<br>並ぶ<br>(Q3)
並ばれる	Passive<br>並ぶ<br>(Q3)
並ばせる	Causative<br>並ぶ<br>(Q3)
並べ	Imperative<br>並ぶ<br>(Q3)
並べば	Conditional<br>並ぶ<br>(Q3)
入る	Present Positive Plain<br>入る<br>(R1)
入らない	Present Negative Plain<br>入る<br>(R1)
入ります	Present Positive Polite<br>入る<br>(R1)
入りません	Present Negative Polite<br>入る<br>(R1)
入った	Past Positive Plain<br>入る<br>(R1)
入らなかった	Past Negative Plain<br>入る<br>(R1)
入りました	Past Positive Polite<br>入る<br>(R1)
入りませんでした	Past Negative Polite<br>入る<br>(R1)
入って	-te Form<br>入る<br>(R1)
入ろう	Volitional<br>入る<br>(R1)
入れる	Potential<br>入る<br>(R1)
入られる	Passive<br>入る<br>(R1)
入れさせる	Causative<br>入る<br>(R1)
入れ	Imperative<br>入る<br>(R1)
入れば	Conditional<br>入る<br>(R1)
作る	Present Positive Plain<br>作る<br>(R2)
作らない	Present Negative Plain<br>作る<br>(R2)
作ります	Present Positive Polite<br>作る<br>(R2)
作りません	Present Negative Polite<br>作る<br>(R2)
作った	Past Positive Plain<br>作る<br>(R2)
作らなかった	Past Negative Plain<br>作る<br>(R2)
作りました	Past Positive Polite<br>作る<br>(R2)
作りませんでした	Past Negative Polite<br>作る<br>(R2)
作って	-te Form<br>作る<br>(R2)
作ろう	Volitional<br>作る<br>(R2)
作れる	Potential<br>作る<br>(R2)
作られる	Passive<br>作る<br>(R2)
作らせる	Causative<br>作る<br>(R2)
作れ	Imperative<br>作る<br>(R2)
作れば	Conditional<br>作る<br>(R2)
知る	Present Positive Plain<br>知る<br>(R3)
知らない	Present Negative Plain<br>知る<br>(R3)
知ります	Present Positive Polite<br>知る<br>(R3)
知りません	Present Negative Polite<br>知る<br>(R3)
知った	Past Positive Plain<br>知る<br>(R3)
知らなかった	Past Negative Plain<br>知る<br>(R3)
知りました	Past Positive Polite<br>知る<br>(R3)
知りませんでした	Past Negative Polite<br>知る<br>(R3)
知って	-te Form<br>知る<br>(R3)
知ろう	Volitional<br>知る<br>(R3)
知れる	Potential<br>知る<br>(R3)
知られる	Passive<br>知る<br>(R3)
知らせる	Causative<br>知る<br>(R3)
知れ	Imperative<br>知る<br>(R3)
知れば	Conditional<br>知る<br>(R3)
分かる	Present Positive Plain<br>分かる<br>(R4)
分からない	Present Negative Plain<br>分かる<br>(R4)
分かります	Present Positive Polite<br>分かる<br>(R4)
分かりません	Present Negative Polite<br>分かる<br>(R4)
分かった	Past Positive Plain<br>分かる<br>(R4)
分からなかった	Past Negative Plain<br>分かる<br>(R4)
分かりました	Past Positive Polite<br>分かる<br>(R4)
分かりませんでした	Past Negative Polite<br>分かる<br>(R4)
分かって	-te Form<br>分かる<br>(R4)
分かろう	Volitional<br>分かる<br>(R4)
分かれる	Potential<br>分かる<br>(R4)
分かれる	Passive<br>分かる<br>(R4)
分からせる	Causative<br>分かる<br>(R4)
分かれ	Imperative<br>分かる<br>(R4)
分かれば	Conditional<br>分かる<br>(R4)
なさる	Present Positive Plain<br>なさる<br>(S1)
なさらない	Present Negative Plain<br>なさる<br>(S1)
なさいます	Present Positive Polite<br>なさる<br>(S1)
なさいません	Present Negative Polite<br>なさる<br>(S1)
なさった	Past Positive Plain<br>なさる<br>(S1)
なさらなかった	Past Negative Plain<br>なさる<br>(S1)
なさいました	Past Positive Polite<br>なさる<br>(S1)
なさいませんでした	Past Negative Polite<br>なさる<br>(S1)
なさって	-te Form<br>なさる<br>(S1)
なさろう	Volitional<br>なさる<br>(S1)
なされる	Potential<br>なさる<br>(S1)
なさられる	Passive<br>なさる<br>(S1)
なさらせる	Causative<br>なさる<br>(S1)
なさって	Imperative<br>なさる<br>(S1)
なされば	Conditional<br>なさる<br>(S1)
下さる	Present Positive Plain<br>下さる<br>(S2)
下さらない	Present Negative Plain<br>下さる<br>(S2)
下さいます	Present Positive Polite<br>下さる<br>(S2)
下さいません	Present Negative Polite<br>下さる<br>(S2)
下さった	Past Positive Plain<br>下さる<br>(S2)
下さらなかった	Past Negative Plain<br>下さる<br>(S2)
下さいました	Past Positive Polite<br>下さる<br>(S2)
下さいませんでした	Past Negative Polite<br>下さる<br>(S2)
下さって	-te Form<br>下さる<br>(S2)
下さろう	Volitional<br>下さる<br>(S2)
下される	Potential<br>下さる<br>(S2)
下さられる	Passive<br>下さる<br>(S2)
下さらせる	Causative<br>下さる<br>(S2)
下さい	Imperative<br>下さる<br>(S2)
下されば	Conditional<br>下さる<br>(S2)
仰る	Present Positive Plain<br>仰る<br>(S3)
仰らない	Present Negative Plain<br>仰る<br>(S3)
仰います	Present Positive Polite<br>仰る<br>(S3)
仰いません	Present Negative Polite<br>仰る<br>(S3)
仰った	Past Positive Plain<br>仰る<br>(S3)
仰らなかった	Past Negative Plain<br>仰る<br>(S3)
仰いました	Past Positive Polite<br>仰る<br>(S3)
仰いませんでした	Past Negative Polite<br>仰る<br>(S3)
仰って	-te Form<br>仰る<br>(S3)
仰りましょう	Volitional<br>仰る<br>(S3)
仰れる	Potential<br>仰る<br>(S3)
仰られる	Passive<br>仰る<br>(S3)
仰らせる	Causative<br>仰る<br>(S3)
仰って	Imperative<br>仰る<br>(S3)
仰れば	Conditional<br>仰る<br>(S3)
だ	Present Positive Plain<br>だ<br>(T1)
ではない	Present Negative Plain<br>だ<br>(T1)
です	Present Positive Polite<br>だ<br>(T1)
ではありません	Present Negative Polite<br>だ<br>(T1)
だった	Past Positive Plain<br>だ<br>(T1)
ではなかった	Past Negative Plain<br>だ<br>(T1)
でした	Past Positive Polite<br>だ<br>(T1)
ではありませんでした	Past Negative Polite<br>だ<br>(T1)
で	-te Form<br>だ<br>(T1)
だろう	Volitional<br>だ<br>(T1)
できる	Potential<br>だ<br>(T1)
される	Passive<br>だ<br>(T1)
させる	Causative<br>だ<br>(T1)
だろ	Imperative<br>だ<br>(T1)
なら	Conditional<br>だ<br>(T1)
する	Present Positive Plain<br>する<br>(U1)
しない	Present Negative Plain<br>する<br>(U1)
します	Present Positive Polite<br>する<br>(U1)
しません	Present Negative Polite<br>する<br>(U1)
した	Past Positive Plain<br>する<br>(U1)
しなかった	Past Negative Plain<br>する<br>(U1)
しました	Past Positive Polite<br>する<br>(U1)
しませんでした	Past Negative Polite<br>する<br>(U1)
して	-te Form<br>する<br>(U1)
しよう	Volitional<br>する<br>(U1)
できる	Potential<br>する<br>(U1)
される	Passive<br>する<br>(U1)
させる	Causative<br>する<br>(U1)
しろ	Imperative<br>する<br>(U1)
すれば	Conditional<br>する<br>(U1)
使用する	Present Positive Plain<br>使用する<br>(U2)
使用しない	Present Negative Plain<br>使用する<br>(U2)
使用します	Present Positive Polite<br>使用する<br>(U2)
使用しません	Present Negative Polite<br>使用する<br>(U2)
使用した	Past Positive Plain<br>使用する<br>(U2)
使用しなかった	Past Negative Plain<br>使用する<br>(U2)
使用しました	Past Positive Polite<br>使用する<br>(U2)
使用しませんでした	Past Negative Polite<br>使用する<br>(U2)
使用して	-te Form<br>使用する<br>(U2)
使用しよう	Volitional<br>使用する<br>(U2)
使用できる	Potential<br>使用する<br>(U2)
使用される	Passive<br>使用する<br>(U2)
使用させる	Causative<br>使用する<br>(U2)
使用しろ	Imperative<br>使用する<br>(U2)
使用すれば	Conditional<br>使用する<br>(U2)
表示する	Present Positive Plain<br>表示する<br>(U3)
表示しない	Present Negative Plain<br>表示する<br>(U3)
表示します	Present Positive Polite<br>表示する<br>(U3)
表示しません	Present Negative Polite<br>表示する<br>(U3)
表示した	Past Positive Plain<br>表示する<br>(U3)
表示しなかった	Past Negative Plain<br>表示する<br>(U3)
表示しました	Past Positive Polite<br>表示する<br>(U3)
表示しませんでした	Past Negative Polite<br>表示する<br>(U3)
表示して	-te Form<br>表示する<br>(U3)
表示しよう	Volitional<br>表示する<br>(U3)
表示できる	Potential<br>表示する<br>(U3)
表示される	Passive<br>表示する<br>(U3)
表示させる	Causative<br>表示する<br>(U3)
表示しろ	Imperative<br>表示する<br>(U3)
表示すれば	Conditional<br>表示する<br>(U3)
くれる	Present Positive Plain<br>くれる<br>(V1)
くれない	Present Negative Plain<br>くれる<br>(V1)
くれます	Present Positive Polite<br>くれる<br>(V1)
くれません	Present Negative Polite<br>くれる<br>(V1)
くれた	Past Positive Plain<br>くれる<br>(V1)
くれなかった	Past Negative Plain<br>くれる<br>(V1)
くれました	Past Positive Polite<br>くれる<br>(V1)
くれませんでした	Past Negative Polite<br>くれる<br>(V1)
くれて	-te Form<br>くれる<br>(V1)
くれよう	Volitional<br>くれる<br>(V1)
くれる	Potential<br>くれる<br>(V1)
くれられる	Passive<br>くれる<br>(V1)
くれさせる	Causative<br>くれる<br>(V1)
くれ	Imperative<br>くれる<br>(V1)
くれれば	Conditional<br>くれる<br>(V1)
呉れる	Present Positive Plain<br>呉れる<br>(V2)
呉れない	Present Negative Plain<br>呉れる<br>(V2)
呉れます	Present Positive Polite<br>呉れる<br>(V2)
呉れません	Present Negative Polite<br>呉れる<br>(V2)
呉れた	Past Positive Plain<br>呉れる<br>(V2)
呉れなかった	Past Negative Plain<br>呉れる<br>(V2)
呉れました	Past Positive Polite<br>呉れる<br>(V2)
呉れませんでした	Past Negative Polite<br>呉れる<br>(V2)
呉れて	-te Form<br>呉れる<br>(V2)
呉れよう	Volitional<br>呉れる<br>(V2)
呉れる	Potential<br>呉れる<br>(V2)
呉れられる	Passive<br>呉れる<br>(V2)
呉れさせる	Causative<br>呉れる<br>(V2)
呉れ	Imperative<br>呉れる<br>(V2)
呉れれば	Conditional<br>呉れる<br>(V2)
ある	Present Positive Plain<br>ある<br>(W1)
ない	Present Negative Plain<br>ある<br>(W1)
あります	Present Positive Polite<br>ある<br>(W1)
ありません	Present Negative Polite<br>ある<br>(W1)
あった	Past Positive Plain<br>ある<br>(W1)
なかった	Past Negative Plain<br>ある<br>(W1)
ありました	Past Positive Polite<br>ある<br>(W1)
ありませんでした	Past Negative Polite<br>ある<br>(W1)
あって	-te Form<br>ある<br>(W1)
あろう	Volitional<br>ある<br>(W1)
ありえる	Potential<br>ある<br>(W1)
ありえる	Passive<br>ある<br>(W1)
あらせる	Causative<br>ある<br>(W1)
あれ	Imperative<br>ある<br>(W1)
あれば	Conditional<br>ある<br>(W1)
