						
Present Positive Plain<br>買う	買う<br>(C1)
Past Negative Polite<br>愛する	愛しませんでした<br>(M1)
-te Form<br>愛する	愛して<br>(M1)
Volitional<br>愛する	愛しよう<br>(M1)
Potential<br>愛する	愛せる<br>(M1)
Passive<br>愛する	愛される<br>(M1)
Causative<br>愛する	愛させる<br>(M1)
Imperative<br>愛する	愛せ<br>(M1)
Conditional<br>愛する	愛せば<br>(M1)
Present Positive Plain<br>化する	化する<br>(M2)
Present Negative Plain<br>化する	化しない<br>(M2)
Present Positive Polite<br>化する	化します<br>(M2)
Present Negative Polite<br>化する	化しません<br>(M2)
Past Positive Plain<br>化する	化した<br>(M2)
Past Negative Plain<br>化する	化さなかった<br>(M2)
Past Positive Polite<br>化する	化しました<br>(M2)
Past Negative Polite<br>化する	化しませんでした<br>(M2)
-te Form<br>化する	化して<br>(M2)
Volitional<br>化する	化そう<br>(M2)
Potential<br>化する	化せる<br>(M2)
Passive<br>化する	化される<br>(M2)
Causative<br>化する	化させる<br>(M2)
Imperative<br>化する	化せよ<br>(M2)
Conditional<br>化する	化せば<br>(M2)
Present Positive Plain<br>属する	属する<br>(M3)
Present Negative Plain<br>属する	属さない<br>(M3)
Present Positive Polite<br>属する	属します<br>(M3)
Present Negative Polite<br>属する	属しません<br>(M3)
Past Positive Plain<br>属する	属した<br>(M3)
Past Negative Plain<br>属する	属さなかった<br>(M3)
Past Positive Polite<br>属する	属しました<br>(M3)
Past Negative Polite<br>属する	属しませんでした<br>(M3)
-te Form<br>属する	属して<br>(M3)
Volitional<br>属する	属しよう<br>(M3)
Potential<br>属する	属せる<br>(M3)
Passive<br>属する	属される<br>(M3)
Causative<br>属する	属させる<br>(M3)
Imperative<br>属する	属せ<br>(M3)
Conditional<br>属する	属せば<br>(M3)
Present Positive Plain<br>待つ	待つ<br>(N1)
Present Negative Plain<br>待つ	待たない<br>(N1)
Present Positive Polite<br>待つ	待ちます<br>(N1)
Present Negative Polite<br>待つ	待ちません<br>(N1)
Past Positive Plain<br>待つ	待った<br>(N1)
Past Negative Plain<br>待つ	待たなかった<br>(N1)
Past Positive Polite<br>待つ	待ちました<br>(N1)
Past Negative Polite<br>待つ	待ちませんでした<br>(N1)
-te Form<br>待つ	待って<br>(N1)
Volitional<br>待つ	待とう<br>(N1)
Potential<br>待つ	待てる<br>(N1)
Passive<br>待つ	待たれる<br>(N1)
Causative<br>待つ	待たせる<br>(N1)
Imperative<br>待つ	待て<br>(N1)
Conditional<br>待つ	待てば<br>(N1)
Present Positive Plain<br>持つ	持つ<br>(N2)
Present Negative Plain<br>持つ	持たない<br>(N2)
Present Positive Polite<br>持つ	持ちます<br>(N2)
Present Negative Polite<br>持つ	持ちません<br>(N2)
Past Positive Plain<br>持つ	持った<br>(N2)
Past Negative Plain<br>持つ	持たなかった<br>(N2)
Past Positive Polite<br>持つ	持ちました<br>(N2)
Past Negative Polite<br>持つ	持ちませんでした<br>(N2)
-te Form<br>持つ	持って<br>(N2)
Volitional<br>持つ	持とう<br>(N2)
Potential<br>持つ	持てる<br>(N2)
Passive<br>持つ	持たれる<br>(N2)
Causative<br>持つ	持たせる<br>(N2)
Imperative<br>持つ	持て<br>(N2)
Conditional<br>持つ	持てば<br>(N2)
Present Positive Plain<br>立つ	立つ<br>(N3)
Present Negative Plain<br>立つ	立たない<br>(N3)
Present Positive Polite<br>立つ	立ちます<br>(N3)
Present Negative Polite<br>立つ	立ちません<br>(N3)
Past Positive Plain<br>立つ	立った<br>(N3)
Past Negative Plain<br>立つ	立たなかった<br>(N3)
Past Positive Polite<br>立つ	立ちました<br>(N3)
Past Negative Polite<br>立つ	立ちませんでした<br>(N3)
-te Form<br>立つ	立って<br>(N3)
Volitional<br>立つ	立とう<br>(N3)
Potential<br>立つ	立てる<br>(N3)
Passive<br>立つ	立たれる<br>(N3)
Causative<br>立つ	立たせる<br>(N3)
Imperative<br>立つ	立て<br>(N3)
Conditional<br>立つ	立てば<br>(N3)
Present Positive Plain<br>在る	在る<br>(O1)
Present Negative Plain<br>在る	在らない<br>(O1)
Present Positive Polite<br>在る	在ります<br>(O1)
Present Negative Polite<br>在る	在りません<br>(O1)
Past Positive Plain<br>在る	在った<br>(O1)
Past Negative Plain<br>在る	在らなかった<br>(O1)
Past Positive Polite<br>在る	在りました<br>(O1)
Past Negative Polite<br>在る	在りませんでした<br>(O1)
-te Form<br>在る	在って<br>(O1)
Volitional<br>在る	在ろう<br>(O1)
Potential<br>在る	在れる<br>(O1)
Passive<br>在る	在られる<br>(O1)
Causative<br>在る	在らせる<br>(O1)
Imperative<br>在る	在れ<br>(O1)
Conditional<br>在る	在れば<br>(O1)
Present Positive Plain<br>問う	問う<br>(P1)
Present Negative Plain<br>問う	問わない<br>(P1)
Present Positive Polite<br>問う	問います<br>(P1)
Present Negative Polite<br>問う	問いません<br>(P1)
Past Positive Plain<br>問う	問った<br>(P1)
Past Negative Plain<br>問う	問わなかった<br>(P1)
Past Positive Polite<br>問う	問いました<br>(P1)
Past Negative Polite<br>問う	問いませんでした<br>(P1)
-te Form<br>問う	問って<br>(P1)
Volitional<br>問う	問おう<br>(P1)
Potential<br>問う	問える<br>(P1)
Passive<br>問う	問われる<br>(P1)
Causative<br>問う	問わせる<br>(P1)
Imperative<br>問う	問え<br>(P1)
Conditional<br>問う	問えば<br>(P1)
Present Positive Plain<br>呼ぶ	呼ぶ<br>(Q1)
Present Negative Plain<br>呼ぶ	呼ばない<br>(Q1)
Present Positive Polite<br>呼ぶ	呼びます<br>(Q1)
Present Negative Polite<br>呼ぶ	呼びません<br>(Q1)
Past Positive Plain<br>呼ぶ	呼んだ<br>(Q1)
Past Negative Plain<br>呼ぶ	呼ばなかった<br>(Q1)
Past Positive Polite<br>呼ぶ	呼びました<br>(Q1)
Past Negative Polite<br>呼ぶ	呼びませんでした<br>(Q1)
-te Form<br>呼ぶ	呼んで<br>(Q1)
Volitional<br>呼ぶ	呼ぼう<br>(Q1)
Potential<br>呼ぶ	呼べる<br>(Q1)
Passive<br>呼ぶ	呼ばれる<br>(Q1)
Causative<br>呼ぶ	呼ばせる<br>(Q1)
Imperative<br>呼ぶ	呼べ<br>(Q1)
Conditional<br>呼ぶ	呼べば<br>(Q1)
Present Positive Plain<br>学ぶ	学ぶ<br>(Q2)
Present Negative Plain<br>学ぶ	学ばない<br>(Q2)
Present Positive Polite<br>学ぶ	学びます<br>(Q2)
Present Negative Polite<br>学ぶ	学びません<br>(Q2)
Past Positive Plain<br>学ぶ	学んだ<br>(Q2)
Past Negative Plain<br>学ぶ	学ばなかった<br>(Q2)
Past Positive Polite<br>学ぶ	学びました<br>(Q2)
Past Negative Polite<br>学ぶ	学びませんでした<br>(Q2)
-te Form<br>学ぶ	学んで<br>(Q2)
Volitional<br>学ぶ	学ぼう<br>(Q2)
Potential<br>学ぶ	学べる<br>(Q2)
Passive<br>学ぶ	学ばれる<br>(Q2)
Causative<br>学ぶ	学ばせる<br>(Q2)
Imperative<br>学ぶ	学べ<br>(Q2)
Conditional<br>学ぶ	学べば<br>(Q2)
Present Positive Plain<br>並ぶ	並ぶ<br>(Q3)
Present Negative Plain<br>並ぶ	並ばない<br>(Q3)
Present Positive Polite<br>並ぶ	並びます<br>(Q3)
Present Negative Polite<br>並ぶ	並びません<br>(Q3)
Past Positive Plain<br>並ぶ	並んだ<br>(Q3)
Past Negative Plain<br>並ぶ	並ばなかった<br>(Q3)
Past Positive Polite<br>並ぶ	並びました<br>(Q3)
Past Negative Polite<br>並ぶ	並びませんでした<br>(Q3)
-te Form<br>並ぶ	並んで<br>(Q3)
Volitional<br>並ぶ	並ぼう<br>(Q3)
Potential<br>並ぶ	並べる<br>(Q3)
Passive<br>並ぶ	並ばれる<br>(Q3)
Causative<br>並ぶ	並ばせる<br>(Q3)
Imperative<br>並ぶ	並べ<br>(Q3)
Conditional<br>並ぶ	並べば<br>(Q3)
Present Positive Plain<br>入る	入る<br>(R1)
Present Negative Plain<br>入る	入らない<br>(R1)
Present Positive Polite<br>入る	入ります<br>(R1)
Present Negative Polite<br>入る	入りません<br>(R1)
Past Positive Plain<br>入る	入った<br>(R1)
Past Negative Plain<br>入る	入らなかった<br>(R1)
Past Positive Polite<br>入る	入りました<br>(R1)
Past Negative Polite<br>入る	入りませんでした<br>(R1)
-te Form<br>入る	入って<br>(R1)
Volitional<br>入る	入ろう<br>(R1)
Potential<br>入る	入れる<br>(R1)
Passive<br>入る	入られる<br>(R1)
Causative<br>入る	入れさせる<br>(R1)
Imperative<br>入る	入れ<br>(R1)
Conditional<br>入る	入れば<br>(R1)
Present Positive Plain<br>作る	作る<br>(R2)
Present Negative Plain<br>作る	作らない<br>(R2)
Present Positive Polite<br>作る	作ります<br>(R2)
Present Negative Polite<br>作る	作りません<br>(R2)
Past Positive Plain<br>作る	作った<br>(R2)
Past Negative Plain<br>作る	作らなかった<br>(R2)
Past Positive Polite<br>作る	作りました<br>(R2)
Past Negative Polite<br>作る	作りませんでした<br>(R2)
-te Form<br>作る	作って<br>(R2)
Volitional<br>作る	作ろう<br>(R2)
Potential<br>作る	作れる<br>(R2)
Passive<br>作る	作られる<br>(R2)
Causative<br>作る	作らせる<br>(R2)
Imperative<br>作る	作れ<br>(R2)
Conditional<br>作る	作れば<br>(R2)
Present Positive Plain<br>知る	知る<br>(R3)
Present Negative Plain<br>知る	知らない<br>(R3)
Present Positive Polite<br>知る	知ります<br>(R3)
Present Negative Polite<br>知る	知りません<br>(R3)
Past Positive Plain<br>知る	知った<br>(R3)
Past Negative Plain<br>知る	知らなかった<br>(R3)
Past Positive Polite<br>知る	知りました<br>(R3)
Past Negative Polite<br>知る	知りませんでした<br>(R3)
-te Form<br>知る	知って<br>(R3)
Volitional<br>知る	知ろう<br>(R3)
Potential<br>知る	知れる<br>(R3)
Passive<br>知る	知られる<br>(R3)
Causative<br>知る	知らせる<br>(R3)
Imperative<br>知る	知れ<br>(R3)
Conditional<br>知る	知れば<br>(R3)
Present Positive Plain<br>分かる	分かる<br>(R4)
Present Negative Plain<br>分かる	分からない<br>(R4)
Present Positive Polite<br>分かる	分かります<br>(R4)
Present Negative Polite<br>分かる	分かりません<br>(R4)
Past Positive Plain<br>分かる	分かった<br>(R4)
Past Negative Plain<br>分かる	分からなかった<br>(R4)
Past Positive Polite<br>分かる	分かりました<br>(R4)
Past Negative Polite<br>分かる	分かりませんでした<br>(R4)
-te Form<br>分かる	分かって<br>(R4)
Volitional<br>分かる	分かろう<br>(R4)
Potential<br>分かる	分かれる<br>(R4)
Passive<br>分かる	分かれる<br>(R4)
Causative<br>分かる	分からせる<br>(R4)
Imperative<br>分かる	分かれ<br>(R4)
Conditional<br>分かる	分かれば<br>(R4)
Present Positive Plain<br>なさる	なさる<br>(S1)
Present Negative Plain<br>なさる	なさらない<br>(S1)
Present Positive Polite<br>なさる	なさいます<br>(S1)
Present Negative Polite<br>なさる	なさいません<br>(S1)
Past Positive Plain<br>なさる	なさった<br>(S1)
Past Negative Plain<br>なさる	なさらなかった<br>(S1)
Past Positive Polite<br>なさる	なさいました<br>(S1)
Past Negative Polite<br>なさる	なさいませんでした<br>(S1)
-te Form<br>なさる	なさって<br>(S1)
Volitional<br>なさる	なさろう<br>(S1)
Potential<br>なさる	なされる<br>(S1)
Passive<br>なさる	なさられる<br>(S1)
Causative<br>なさる	なさらせる<br>(S1)
Imperative<br>なさる	なさって<br>(S1)
Conditional<br>なさる	なされば<br>(S1)
Present Positive Plain<br>下さる	下さる<br>(S2)
Present Negative Plain<br>下さる	下さらない<br>(S2)
Present Positive Polite<br>下さる	下さいます<br>(S2)
Present Negative Polite<br>下さる	下さいません<br>(S2)
Past Positive Plain<br>下さる	下さった<br>(S2)
Past Negative Plain<br>下さる	下さらなかった<br>(S2)
Past Positive Polite<br>下さる	下さいました<br>(S2)
Past Negative Polite<br>下さる	下さいませんでした<br>(S2)
-te Form<br>下さる	下さって<br>(S2)
Volitional<br>下さる	下さろう<br>(S2)
Potential<br>下さる	下される<br>(S2)
Passive<br>下さる	下さられる<br>(S2)
Causative<br>下さる	下さらせる<br>(S2)
Imperative<br>下さる	下さい<br>(S2)
Conditional<br>下さる	下されば<br>(S2)
Present Positive Plain<br>仰る	仰る<br>(S3)
Present Negative Plain<br>仰る	仰らない<br>(S3)
Present Positive Polite<br>仰る	仰います<br>(S3)
Present Negative Polite<br>仰る	仰いません<br>(S3)
Past Positive Plain<br>仰る	仰った<br>(S3)
Past Negative Plain<br>仰る	仰らなかった<br>(S3)
Past Positive Polite<br>仰る	仰いました<br>(S3)
Past Negative Polite<br>仰る	仰いませんでした<br>(S3)
-te Form<br>仰る	仰って<br>(S3)
Volitional<br>仰る	仰りましょう<br>(S3)
Potential<br>仰る	仰れる<br>(S3)
Passive<br>仰る	仰られる<br>(S3)
Causative<br>仰る	仰らせる<br>(S3)
Imperative<br>仰る	仰って<br>(S3)
Conditional<br>仰る	仰れば<br>(S3)
Present Positive Plain<br>だ	だ<br>(T1)
Present Negative Plain<br>だ	ではない<br>(T1)
Present Positive Polite<br>だ	です<br>(T1)
Present Negative Polite<br>だ	ではありません<br>(T1)
Past Positive Plain<br>だ	だった<br>(T1)
Past Negative Plain<br>だ	ではなかった<br>(T1)
Past Positive Polite<br>だ	でした<br>(T1)
Past Negative Polite<br>だ	ではありませんでした<br>(T1)
-te Form<br>だ	で<br>(T1)
Volitional<br>だ	だろう<br>(T1)
Potential<br>だ	できる<br>(T1)
Passive<br>だ	される<br>(T1)
Causative<br>だ	させる<br>(T1)
Imperative<br>だ	だろ<br>(T1)
Conditional<br>だ	なら<br>(T1)
Present Positive Plain<br>する	する<br>(U1)
Present Negative Plain<br>する	しない<br>(U1)
Present Positive Polite<br>する	します<br>(U1)
Present Negative Polite<br>する	しません<br>(U1)
Past Positive Plain<br>する	した<br>(U1)
Past Negative Plain<br>する	しなかった<br>(U1)
Past Positive Polite<br>する	しました<br>(U1)
Past Negative Polite<br>する	しませんでした<br>(U1)
-te Form<br>する	して<br>(U1)
Volitional<br>する	しよう<br>(U1)
Potential<br>する	できる<br>(U1)
Passive<br>する	される<br>(U1)
Causative<br>する	させる<br>(U1)
Imperative<br>する	しろ<br>(U1)
Conditional<br>する	すれば<br>(U1)
Present Positive Plain<br>使用する	使用する<br>(U2)
Present Negative Plain<br>使用する	使用しない<br>(U2)
Present Positive Polite<br>使用する	使用します<br>(U2)
Present Negative Polite<br>使用する	使用しません<br>(U2)
Past Positive Plain<br>使用する	使用した<br>(U2)
Past Negative Plain<br>使用する	使用しなかった<br>(U2)
Past Positive Polite<br>使用する	使用しました<br>(U2)
Past Negative Polite<br>使用する	使用しませんでした<br>(U2)
-te Form<br>使用する	使用して<br>(U2)
Volitional<br>使用する	使用しよう<br>(U2)
Potential<br>使用する	使用できる<br>(U2)
Passive<br>使用する	使用される<br>(U2)
Causative<br>使用する	使用させる<br>(U2)
Imperative<br>使用する	使用しろ<br>(U2)
Conditional<br>使用する	使用すれば<br>(U2)
Present Positive Plain<br>表示する	表示する<br>(U3)
Present Negative Plain<br>表示する	表示しない<br>(U3)
Present Positive Polite<br>表示する	表示します<br>(U3)
Present Negative Polite<br>表示する	表示しません<br>(U3)
Past Positive Plain<br>表示する	表示した<br>(U3)
Past Negative Plain<br>表示する	表示しなかった<br>(U3)
Past Positive Polite<br>表示する	表示しました<br>(U3)
Past Negative Polite<br>表示する	表示しませんでした<br>(U3)
-te Form<br>表示する	表示して<br>(U3)
Volitional<br>表示する	表示しよう<br>(U3)
Potential<br>表示する	表示できる<br>(U3)
Passive<br>表示する	表示される<br>(U3)
Causative<br>表示する	表示させる<br>(U3)
Imperative<br>表示する	表示しろ<br>(U3)
Conditional<br>表示する	表示すれば<br>(U3)
Present Positive Plain<br>くれる	くれる<br>(V1)
Present Negative Plain<br>くれる	くれない<br>(V1)
Present Positive Polite<br>くれる	くれます<br>(V1)
Present Negative Polite<br>くれる	くれません<br>(V1)
Past Positive Plain<br>くれる	くれた<br>(V1)
Past Negative Plain<br>くれる	くれなかった<br>(V1)
Past Positive Polite<br>くれる	くれました<br>(V1)
Past Negative Polite<br>くれる	くれませんでした<br>(V1)
-te Form<br>くれる	くれて<br>(V1)
Volitional<br>くれる	くれよう<br>(V1)
Potential<br>くれる	くれる<br>(V1)
Passive<br>くれる	くれられる<br>(V1)
Causative<br>くれる	くれさせる<br>(V1)
Imperative<br>くれる	くれ<br>(V1)
Conditional<br>くれる	くれれば<br>(V1)
Present Positive Plain<br>呉れる	呉れる<br>(V2)
Present Negative Plain<br>呉れる	呉れない<br>(V2)
Present Positive Polite<br>呉れる	呉れます<br>(V2)
Present Negative Polite<br>呉れる	呉れません<br>(V2)
Past Positive Plain<br>呉れる	呉れた<br>(V2)
Past Negative Plain<br>呉れる	呉れなかった<br>(V2)
Past Positive Polite<br>呉れる	呉れました<br>(V2)
Past Negative Polite<br>呉れる	呉れませんでした<br>(V2)
-te Form<br>呉れる	呉れて<br>(V2)
Volitional<br>呉れる	呉れよう<br>(V2)
Potential<br>呉れる	呉れる<br>(V2)
Passive<br>呉れる	呉れられる<br>(V2)
Causative<br>呉れる	呉れさせる<br>(V2)
Imperative<br>呉れる	呉れ<br>(V2)
Conditional<br>呉れる	呉れれば<br>(V2)
Present Positive Plain<br>ある	ある<br>(W1)
Present Negative Plain<br>ある	ない<br>(W1)
Present Positive Polite<br>ある	あります<br>(W1)
Present Negative Polite<br>ある	ありません<br>(W1)
Past Positive Plain<br>ある	あった<br>(W1)
Past Negative Plain<br>ある	なかった<br>(W1)
Past Positive Polite<br>ある	ありました<br>(W1)
Past Negative Polite<br>ある	ありませんでした<br>(W1)
-te Form<br>ある	あって<br>(W1)
Volitional<br>ある	あろう<br>(W1)
Potential<br>ある	ありえる<br>(W1)
Passive<br>ある	ありえる<br>(W1)
Causative<br>ある	あらせる<br>(W1)
Imperative<br>ある	あれ<br>(W1)
Conditional<br>ある	あれば<br>(W1)
