		
Present Positive Plain<br>買う	買う<br>(C1)<br>[sound:jva-0001_買う.mp3]
Passive<br>去ぬ	去られる<br>(G2)<br>[sound:jva-0297_去られる.mp3]
Causative<br>去ぬ	去らせる<br>(G2)<br>[sound:jva-0298_去らせる.mp3]
Imperative<br>去ぬ	去れ<br>(G2)<br>[sound:jva-0299_去れ.mp3]
Conditional<br>去ぬ	去れば<br>(G2)<br>[sound:jva-0300_去れば.mp3]
Present Positive Plain<br>往ぬ	往ぬ<br>(G3)<br>[sound:jva-0301_往ぬ.mp3]
Present Negative Plain<br>往ぬ	往かぬ<br>(G3)<br>[sound:jva-0302_往かぬ.mp3]
Present Positive Polite<br>往ぬ	往きます<br>(G3)<br>[sound:jva-0303_往きます.mp3]
Present Negative Polite<br>往ぬ	往きません<br>(G3)<br>[sound:jva-0304_往きません.mp3]
Past Positive Plain<br>往ぬ	往った<br>(G3)<br>[sound:jva-0305_往った.mp3]
Past Negative Plain<br>往ぬ	往かなかった<br>(G3)<br>[sound:jva-0306_往かなかった.mp3]
Past Positive Polite<br>往ぬ	往きました<br>(G3)<br>[sound:jva-0307_往きました.mp3]
Past Negative Polite<br>往ぬ	往きませんでした<br>(G3)<br>[sound:jva-0308_往きませんでした.mp3]
-te Form<br>往ぬ	往いて<br>(G3)<br>[sound:jva-0309_往いて.mp3]
Volitional<br>往ぬ	往こう<br>(G3)<br>[sound:jva-0310_往こう.mp3]
Potential<br>往ぬ	往ける<br>(G3)<br>[sound:jva-0311_往ける.mp3]
Passive<br>往ぬ	往かれる<br>(G3)<br>[sound:jva-0312_往かれる.mp3]
Causative<br>往ぬ	往かせる<br>(G3)<br>[sound:jva-0313_往かせる.mp3]
Imperative<br>往ぬ	往け<br>(G3)<br>[sound:jva-0314_往け.mp3]
Conditional<br>往ぬ	往けば<br>(G3)<br>[sound:jva-0315_往けば.mp3]
Present Positive Plain<br>来る	来る<br>(H1)<br>[sound:jva-0316_来る.mp3]
Present Negative Plain<br>来る	来ない<br>(H1)<br>[sound:jva-0317_来ない.mp3]
Present Positive Polite<br>来る	来ます<br>(H1)<br>[sound:jva-0318_来ます.mp3]
Present Negative Polite<br>来る	来ません<br>(H1)<br>[sound:jva-0319_来ません.mp3]
Past Positive Plain<br>来る	来た<br>(H1)<br>[sound:jva-0320_来た.mp3]
Past Negative Plain<br>来る	来なかった<br>(H1)<br>[sound:jva-0321_来なかった.mp3]
Past Positive Polite<br>来る	来ました<br>(H1)<br>[sound:jva-0322_来ました.mp3]
Past Negative Polite<br>来る	来ませんでした<br>(H1)<br>[sound:jva-0323_来ませんでした.mp3]
-te Form<br>来る	来て<br>(H1)<br>[sound:jva-0324_来て.mp3]
Volitional<br>来る	来よう<br>(H1)<br>[sound:jva-0325_来よう.mp3]
Potential<br>来る	来られる<br>(H1)<br>[sound:jva-0326_来られる.mp3]
Passive<br>来る	来られる<br>(H1)<br>[sound:jva-0327_来られる.mp3]
Causative<br>来る	来させる<br>(H1)<br>[sound:jva-0328_来させる.mp3]
Imperative<br>来る	来い<br>(H1)<br>[sound:jva-0329_来い.mp3]
Conditional<br>来る	来れば<br>(H1)<br>[sound:jva-0330_来れば.mp3]
Present Positive Plain<br>連れて来る	連れて来る<br>(H2)<br>[sound:jva-0331_連れて来る.mp3]
Present Negative Plain<br>連れて来る	連れて来ない<br>(H2)<br>[sound:jva-0332_連れて来ない.mp3]
Present Positive Polite<br>連れて来る	連れて来ます<br>(H2)<br>[sound:jva-0333_連れて来ます.mp3]
Present Negative Polite<br>連れて来る	連れて来ません<br>(H2)<br>[sound:jva-0334_連れて来ません.mp3]
Past Positive Plain<br>連れて来る	連れて来た<br>(H2)<br>[sound:jva-0335_連れて来た.mp3]
Past Negative Plain<br>連れて来る	連れて来なかった<br>(H2)<br>[sound:jva-0336_連れて来なかった.mp3]
Past Positive Polite<br>連れて来る	連れて来ました<br>(H2)<br>[sound:jva-0337_連れて来ました.mp3]
Past Negative Polite<br>連れて来る	連れて来ませんでした<br>(H2)<br>[sound:jva-0338_連れて来ませんでした.mp3]
-te Form<br>連れて来る	連れて来て<br>(H2)<br>[sound:jva-0339_連れて来て.mp3]
Volitional<br>連れて来る	連れて来よう<br>(H2)<br>[sound:jva-0340_連れて来よう.mp3]
Potential<br>連れて来る	連れて来られる<br>(H2)<br>[sound:jva-0341_連れて来られる.mp3]
Passive<br>連れて来る	連れて来られる<br>(H2)<br>[sound:jva-0342_連れて来られる.mp3]
Causative<br>連れて来る	連れて来させる<br>(H2)<br>[sound:jva-0343_連れて来させる.mp3]
Imperative<br>連れて来る	連れて来い<br>(H2)<br>[sound:jva-0344_連れて来い.mp3]
Conditional<br>連れて来る	連れて来れば<br>(H2)<br>[sound:jva-0345_連れて来れば.mp3]
Present Positive Plain<br>有る	有る<br>(I1)<br>[sound:jva-0346_有る.mp3]
Present Negative Plain<br>有る	有らない<br>(I1)<br>[sound:jva-0347_有らない.mp3]
Present Positive Polite<br>有る	有ります<br>(I1)<br>[sound:jva-0348_有ります.mp3]
Present Negative Polite<br>有る	有りません<br>(I1)<br>[sound:jva-0349_有りません.mp3]
Past Positive Plain<br>有る	有った<br>(I1)<br>[sound:jva-0350_有った.mp3]
Past Negative Plain<br>有る	有らなかった<br>(I1)<br>[sound:jva-0351_有らなかった.mp3]
Past Positive Polite<br>有る	有りました<br>(I1)<br>[sound:jva-0352_有りました.mp3]
Past Negative Polite<br>有る	有りませんでした<br>(I1)<br>[sound:jva-0353_有りませんでした.mp3]
-te Form<br>有る	有って<br>(I1)<br>[sound:jva-0354_有って.mp3]
Volitional<br>有る	有ろう<br>(I1)<br>[sound:jva-0355_有ろう.mp3]
Potential<br>有る	有れる<br>(I1)<br>[sound:jva-0356_有れる.mp3]
Passive<br>有る	有られる<br>(I1)<br>[sound:jva-0357_有られる.mp3]
Causative<br>有る	有らせる<br>(I1)<br>[sound:jva-0358_有らせる.mp3]
Imperative<br>有る	有れ<br>(I1)<br>[sound:jva-0359_有れ.mp3]
Conditional<br>有る	有れば<br>(I1)<br>[sound:jva-0360_有れば.mp3]
Present Positive Plain<br>書く	書く<br>(J1)<br>[sound:jva-0361_書く.mp3]
Present Negative Plain<br>書く	書かない<br>(J1)<br>[sound:jva-0362_書かない.mp3]
Present Positive Polite<br>書く	書きます<br>(J1)<br>[sound:jva-0363_書きます.mp3]
Present Negative Polite<br>書く	書きません<br>(J1)<br>[sound:jva-0364_書きません.mp3]
Past Positive Plain<br>書く	書いた<br>(J1)<br>[sound:jva-0365_書いた.mp3]
Past Negative Plain<br>書く	書かなかった<br>(J1)<br>[sound:jva-0366_書かなかった.mp3]
Past Positive Polite<br>書く	書きました<br>(J1)<br>[sound:jva-0367_書きました.mp3]
Past Negative Polite<br>書く	書きませんでした<br>(J1)<br>[sound:jva-0368_書きませんでした.mp3]
-te Form<br>書く	書いて<br>(J1)<br>[sound:jva-0369_書いて.mp3]
Volitional<br>書く	書こう<br>(J1)<br>[sound:jva-0370_書こう.mp3]
Potential<br>書く	書ける<br>(J1)<br>[sound:jva-0371_書ける.mp3]
Passive<br>書く	書かれる<br>(J1)<br>[sound:jva-0372_書かれる.mp3]
Causative<br>書く	書かせる<br>(J1)<br>[sound:jva-0373_書かせる.mp3]
Imperative<br>書く	書け<br>(J1)<br>[sound:jva-0374_書け.mp3]
Conditional<br>書く	書けば<br>(J1)<br>[sound:jva-0375_書けば.mp3]
Present Positive Plain<br>聞く	聞く<br>(J2)<br>[sound:jva-0376_聞く.mp3]
Present Negative Plain<br>聞く	聞かない<br>(J2)<br>[sound:jva-0377_聞かない.mp3]
Present Positive Polite<br>聞く	聞きます<br>(J2)<br>[sound:jva-0378_聞きます.mp3]
Present Negative Polite<br>聞く	聞きません<br>(J2)<br>[sound:jva-0379_聞きません.mp3]
Past Positive Plain<br>聞く	聞いた<br>(J2)<br>[sound:jva-0380_聞いた.mp3]
Past Negative Plain<br>聞く	聞かなかった<br>(J2)<br>[sound:jva-0381_聞かなかった.mp3]
Past Positive Polite<br>聞く	聞きました<br>(J2)<br>[sound:jva-0382_聞きました.mp3]
Past Negative Polite<br>聞く	聞きませんでした<br>(J2)<br>[sound:jva-0383_聞きませんでした.mp3]
-te Form<br>聞く	聞いて<br>(J2)<br>[sound:jva-0384_聞いて.mp3]
Volitional<br>聞く	聞こう<br>(J2)<br>[sound:jva-0385_聞こう.mp3]
Potential<br>聞く	聞ける<br>(J2)<br>[sound:jva-0386_聞ける.mp3]
Passive<br>聞く	聞かれる<br>(J2)<br>[sound:jva-0387_聞かれる.mp3]
Causative<br>聞く	聞かせる<br>(J2)<br>[sound:jva-0388_聞かせる.mp3]
Imperative<br>聞く	聞け<br>(J2)<br>[sound:jva-0389_聞け.mp3]
Conditional<br>聞く	聞けば<br>(J2)<br>[sound:jva-0390_聞けば.mp3]
Present Positive Plain<br>置く	置く<br>(J3)<br>[sound:jva-0391_置く.mp3]
Present Negative Plain<br>置く	置かない<br>(J3)<br>[sound:jva-0392_置かない.mp3]
Present Positive Polite<br>置く	置きます<br>(J3)<br>[sound:jva-0393_置きます.mp3]
Present Negative Polite<br>置く	置きません<br>(J3)<br>[sound:jva-0394_置きません.mp3]
Past Positive Plain<br>置く	置いた<br>(J3)<br>[sound:jva-0395_置いた.mp3]
Past Negative Plain<br>置く	置かなかった<br>(J3)<br>[sound:jva-0396_置かなかった.mp3]
Past Positive Polite<br>置く	置きました<br>(J3)<br>[sound:jva-0397_置きました.mp3]
Past Negative Polite<br>置く	置きませんでした<br>(J3)<br>[sound:jva-0398_置きませんでした.mp3]
-te Form<br>置く	置いて<br>(J3)<br>[sound:jva-0399_置いて.mp3]
Volitional<br>置く	置こう<br>(J3)<br>[sound:jva-0400_置こう.mp3]
Potential<br>置く	置ける<br>(J3)<br>[sound:jva-0401_置ける.mp3]
Passive<br>置く	置かれる<br>(J3)<br>[sound:jva-0402_置かれる.mp3]
Causative<br>置く	置かせる<br>(J3)<br>[sound:jva-0403_置かせる.mp3]
Imperative<br>置く	置け<br>(J3)<br>[sound:jva-0404_置け.mp3]
Conditional<br>置く	置けば<br>(J3)<br>[sound:jva-0405_置けば.mp3]
Present Positive Plain<br>接する	接する<br>(K1)<br>[sound:jva-0406_接する.mp3]
Present Negative Plain<br>接する	接しない<br>(K1)<br>[sound:jva-0407_接しない.mp3]
Present Positive Polite<br>接する	接します<br>(K1)<br>[sound:jva-0408_接します.mp3]
Present Negative Polite<br>接する	接しません<br>(K1)<br>[sound:jva-0409_接しません.mp3]
Past Positive Plain<br>接する	接した<br>(K1)<br>[sound:jva-0410_接した.mp3]
Past Negative Plain<br>接する	接しなかった<br>(K1)<br>[sound:jva-0411_接しなかった.mp3]
Past Positive Polite<br>接する	接しました<br>(K1)<br>[sound:jva-0412_接しました.mp3]
Past Negative Polite<br>接する	接しませんでした<br>(K1)<br>[sound:jva-0413_接しませんでした.mp3]
-te Form<br>接する	接して<br>(K1)<br>[sound:jva-0414_接して.mp3]
Volitional<br>接する	接しよう<br>(K1)<br>[sound:jva-0415_接しよう.mp3]
Potential<br>接する	接できる<br>(K1)<br>[sound:jva-0416_接できる.mp3]
Passive<br>接する	接される<br>(K1)<br>[sound:jva-0417_接される.mp3]
Causative<br>接する	接させる<br>(K1)<br>[sound:jva-0418_接させる.mp3]
Imperative<br>接する	接せよ<br>(K1)<br>[sound:jva-0419_接せよ.mp3]
Conditional<br>接する	接すれば<br>(K1)<br>[sound:jva-0420_接すれば.mp3]
Present Positive Plain<br>発する	発する<br>(K2)<br>[sound:jva-0421_発する.mp3]
Present Negative Plain<br>発する	発しない<br>(K2)<br>[sound:jva-0422_発しない.mp3]
Present Positive Polite<br>発する	発します<br>(K2)<br>[sound:jva-0423_発します.mp3]
Present Negative Polite<br>発する	発しません<br>(K2)<br>[sound:jva-0424_発しません.mp3]
Past Positive Plain<br>発する	発した<br>(K2)<br>[sound:jva-0425_発した.mp3]
Past Negative Plain<br>発する	発さなかった<br>(K2)<br>[sound:jva-0426_発さなかった.mp3]
Past Positive Polite<br>発する	発しました<br>(K2)<br>[sound:jva-0427_発しました.mp3]
Past Negative Polite<br>発する	発しませんでした<br>(K2)<br>[sound:jva-0428_発しませんでした.mp3]
-te Form<br>発する	発して<br>(K2)<br>[sound:jva-0429_発して.mp3]
Volitional<br>発する	発そう<br>(K2)<br>[sound:jva-0430_発そう.mp3]
Potential<br>発する	発できる<br>(K2)<br>[sound:jva-0431_発できる.mp3]
Passive<br>発する	発される<br>(K2)<br>[sound:jva-0432_発される.mp3]
Causative<br>発する	発させる<br>(K2)<br>[sound:jva-0433_発させる.mp3]
Imperative<br>発する	発せよ<br>(K2)<br>[sound:jva-0434_発せよ.mp3]
Conditional<br>発する	発すれば<br>(K2)<br>[sound:jva-0435_発すれば.mp3]
Present Positive Plain<br>罰する	罰する<br>(K3)<br>[sound:jva-0436_罰する.mp3]
Present Negative Plain<br>罰する	罰しない<br>(K3)<br>[sound:jva-0437_罰しない.mp3]
Present Positive Polite<br>罰する	罰します<br>(K3)<br>[sound:jva-0438_罰します.mp3]
Present Negative Polite<br>罰する	罰しません<br>(K3)<br>[sound:jva-0439_罰しません.mp3]
Past Positive Plain<br>罰する	罰した<br>(K3)<br>[sound:jva-0440_罰した.mp3]
Past Negative Plain<br>罰する	罰さなかった<br>(K3)<br>[sound:jva-0441_罰さなかった.mp3]
Past Positive Polite<br>罰する	罰しました<br>(K3)<br>[sound:jva-0442_罰しました.mp3]
Past Negative Polite<br>罰する	罰しませんでした<br>(K3)<br>[sound:jva-0443_罰しませんでした.mp3]
-te Form<br>罰する	罰して<br>(K3)<br>[sound:jva-0444_罰して.mp3]
Volitional<br>罰する	罰そう<br>(K3)<br>[sound:jva-0445_罰そう.mp3]
Potential<br>罰する	罰できる<br>(K3)<br>[sound:jva-0446_罰できる.mp3]
Passive<br>罰する	罰される<br>(K3)<br>[sound:jva-0447_罰される.mp3]
Causative<br>罰する	罰させる<br>(K3)<br>[sound:jva-0448_罰させる.mp3]
Imperative<br>罰する	罰せよ<br>(K3)<br>[sound:jva-0449_罰せよ.mp3]
Conditional<br>罰する	罰すれば<br>(K3)<br>[sound:jva-0450_罰すれば.mp3]
Present Positive Plain<br>指す	指す<br>(L1)<br>[sound:jva-0451_指す.mp3]
Present Negative Plain<br>指す	指さない<br>(L1)<br>[sound:jva-0452_指さない.mp3]
Present Positive Polite<br>指す	指します<br>(L1)<br>[sound:jva-0453_指します.mp3]
Present Negative Polite<br>指す	指しません<br>(L1)<br>[sound:jva-0454_指しません.mp3]
Past Positive Plain<br>指す	指した<br>(L1)<br>[sound:jva-0455_指した.mp3]
Past Negative Plain<br>指す	指さなかった<br>(L1)<br>[sound:jva-0456_指さなかった.mp3]
Past Positive Polite<br>指す	指しました<br>(L1)<br>[sound:jva-0457_指しました.mp3]
Past Negative Polite<br>指す	指しませんでした<br>(L1)<br>[sound:jva-0458_指しませんでした.mp3]
-te Form<br>指す	指して<br>(L1)<br>[sound:jva-0459_指して.mp3]
Volitional<br>指す	指そう<br>(L1)<br>[sound:jva-0460_指そう.mp3]
Potential<br>指す	指せる<br>(L1)<br>[sound:jva-0461_指せる.mp3]
Passive<br>指す	指される<br>(L1)<br>[sound:jva-0462_指される.mp3]
Causative<br>指す	指させる<br>(L1)<br>[sound:jva-0463_指させる.mp3]
Imperative<br>指す	指せ<br>(L1)<br>[sound:jva-0464_指せ.mp3]
Conditional<br>指す	指せば<br>(L1)<br>[sound:jva-0465_指せば.mp3]
Present Positive Plain<br>話す	話す<br>(L2)<br>[sound:jva-0466_話す.mp3]
Present Negative Plain<br>話す	話さない<br>(L2)<br>[sound:jva-0467_話さない.mp3]
Present Positive Polite<br>話す	話します<br>(L2)<br>[sound:jva-0468_話します.mp3]
Present Negative Polite<br>話す	話しません<br>(L2)<br>[sound:jva-0469_話しません.mp3]
Past Positive Plain<br>話す	話した<br>(L2)<br>[sound:jva-0470_話した.mp3]
Past Negative Plain<br>話す	話さなかった<br>(L2)<br>[sound:jva-0471_話さなかった.mp3]
Past Positive Polite<br>話す	話しました<br>(L2)<br>[sound:jva-0472_話しました.mp3]
Past Negative Polite<br>話す	話しませんでした<br>(L2)<br>[sound:jva-0473_話しませんでした.mp3]
-te Form<br>話す	話して<br>(L2)<br>[sound:jva-0474_話して.mp3]
Volitional<br>話す	話そう<br>(L2)<br>[sound:jva-0475_話そう.mp3]
Potential<br>話す	話せる<br>(L2)<br>[sound:jva-0476_話せる.mp3]
Passive<br>話す	話される<br>(L2)<br>[sound:jva-0477_話される.mp3]
Causative<br>話す	話させる<br>(L2)<br>[sound:jva-0478_話させる.mp3]
Imperative<br>話す	話せ<br>(L2)<br>[sound:jva-0479_話せ.mp3]
Conditional<br>話す	話せば<br>(L2)<br>[sound:jva-0480_話せば.mp3]
Present Positive Plain<br>示す	示す<br>(L3)<br>[sound:jva-0481_示す.mp3]
Present Negative Plain<br>示す	示さない<br>(L3)<br>[sound:jva-0482_示さない.mp3]
Present Positive Polite<br>示す	示します<br>(L3)<br>[sound:jva-0483_示します.mp3]
Present Negative Polite<br>示す	示しません<br>(L3)<br>[sound:jva-0484_示しません.mp3]
Past Positive Plain<br>示す	示した<br>(L3)<br>[sound:jva-0485_示した.mp3]
Past Negative Plain<br>示す	示さなかった<br>(L3)<br>[sound:jva-0486_示さなかった.mp3]
Past Positive Polite<br>示す	示しました<br>(L3)<br>[sound:jva-0487_示しました.mp3]
Past Negative Polite<br>示す	示しませんでした<br>(L3)<br>[sound:jva-0488_示しませんでした.mp3]
-te Form<br>示す	示して<br>(L3)<br>[sound:jva-0489_示して.mp3]
Volitional<br>示す	示そう<br>(L3)<br>[sound:jva-0490_示そう.mp3]
Potential<br>示す	示せる<br>(L3)<br>[sound:jva-0491_示せる.mp3]
Passive<br>示す	示される<br>(L3)<br>[sound:jva-0492_示される.mp3]
Causative<br>示す	示させる<br>(L3)<br>[sound:jva-0493_示させる.mp3]
Imperative<br>示す	示せ<br>(L3)<br>[sound:jva-0494_示せ.mp3]
Conditional<br>示す	示せば<br>(L3)<br>[sound:jva-0495_示せば.mp3]
Present Positive Plain<br>愛する	愛する<br>(M1)<br>[sound:jva-0496_愛する.mp3]
Present Negative Plain<br>愛する	愛さない<br>(M1)<br>[sound:jva-0497_愛さない.mp3]
Present Positive Polite<br>愛する	愛します<br>(M1)<br>[sound:jva-0498_愛します.mp3]
Present Negative Polite<br>愛する	愛しません<br>(M1)<br>[sound:jva-0499_愛しません.mp3]
Past Positive Plain<br>愛する	愛した<br>(M1)<br>[sound:jva-0500_愛した.mp3]
Past Negative Plain<br>愛する	愛さなかった<br>(M1)<br>[sound:jva-0501_愛さなかった.mp3]
Past Positive Polite<br>愛する	愛しました<br>(M1)<br>[sound:jva-0502_愛しました.mp3]
Past Negative Polite<br>愛する	愛しませんでした<br>(M1)<br>[sound:jva-0503_愛しませんでした.mp3]
-te Form<br>愛する	愛して<br>(M1)<br>[sound:jva-0504_愛して.mp3]
Volitional<br>愛する	愛しよう<br>(M1)<br>[sound:jva-0505_愛しよう.mp3]
Potential<br>愛する	愛せる<br>(M1)<br>[sound:jva-0506_愛せる.mp3]
Passive<br>愛する	愛される<br>(M1)<br>[sound:jva-0507_愛される.mp3]
Causative<br>愛する	愛させる<br>(M1)<br>[sound:jva-0508_愛させる.mp3]
Imperative<br>愛する	愛せ<br>(M1)<br>[sound:jva-0509_愛せ.mp3]
Conditional<br>愛する	愛せば<br>(M1)<br>[sound:jva-0510_愛せば.mp3]
Present Positive Plain<br>化する	化する<br>(M2)<br>[sound:jva-0511_化する.mp3]
Present Negative Plain<br>化する	化しない<br>(M2)<br>[sound:jva-0512_化しない.mp3]
Present Positive Polite<br>化する	化します<br>(M2)<br>[sound:jva-0513_化します.mp3]
Present Negative Polite<br>化する	化しません<br>(M2)<br>[sound:jva-0514_化しません.mp3]
Past Positive Plain<br>化する	化した<br>(M2)<br>[sound:jva-0515_化した.mp3]
Past Negative Plain<br>化する	化さなかった<br>(M2)<br>[sound:jva-0516_化さなかった.mp3]
Past Positive Polite<br>化する	化しました<br>(M2)<br>[sound:jva-0517_化しました.mp3]
Past Negative Polite<br>化する	化しませんでした<br>(M2)<br>[sound:jva-0518_化しませんでした.mp3]
-te Form<br>化する	化して<br>(M2)<br>[sound:jva-0519_化して.mp3]
Volitional<br>化する	化そう<br>(M2)<br>[sound:jva-0520_化そう.mp3]
Potential<br>化する	化せる<br>(M2)<br>[sound:jva-0521_化せる.mp3]
Passive<br>化する	化される<br>(M2)<br>[sound:jva-0522_化される.mp3]
Causative<br>化する	化させる<br>(M2)<br>[sound:jva-0523_化させる.mp3]
Imperative<br>化する	化せよ<br>(M2)<br>[sound:jva-0524_化せよ.mp3]
Conditional<br>化する	化せば<br>(M2)<br>[sound:jva-0525_化せば.mp3]
Present Positive Plain<br>属する	属する<br>(M3)<br>[sound:jva-0526_属する.mp3]
Present Negative Plain<br>属する	属さない<br>(M3)<br>[sound:jva-0527_属さない.mp3]
Present Positive Polite<br>属する	属します<br>(M3)<br>[sound:jva-0528_属します.mp3]
Present Negative Polite<br>属する	属しません<br>(M3)<br>[sound:jva-0529_属しません.mp3]
Past Positive Plain<br>属する	属した<br>(M3)<br>[sound:jva-0530_属した.mp3]
Past Negative Plain<br>属する	属さなかった<br>(M3)<br>[sound:jva-0531_属さなかった.mp3]
Past Positive Polite<br>属する	属しました<br>(M3)<br>[sound:jva-0532_属しました.mp3]
Past Negative Polite<br>属する	属しませんでした<br>(M3)<br>[sound:jva-0533_属しませんでした.mp3]
-te Form<br>属する	属して<br>(M3)<br>[sound:jva-0534_属して.mp3]
Volitional<br>属する	属しよう<br>(M3)<br>[sound:jva-0535_属しよう.mp3]
Potential<br>属する	属せる<br>(M3)<br>[sound:jva-0536_属せる.mp3]
Passive<br>属する	属される<br>(M3)<br>[sound:jva-0537_属される.mp3]
Causative<br>属する	属させる<br>(M3)<br>[sound:jva-0538_属させる.mp3]
Imperative<br>属する	属せ<br>(M3)<br>[sound:jva-0539_属せ.mp3]
Conditional<br>属する	属せば<br>(M3)<br>[sound:jva-0540_属せば.mp3]
Present Positive Plain<br>待つ	待つ<br>(N1)<br>[sound:jva-0541_待つ.mp3]
Present Negative Plain<br>待つ	待たない<br>(N1)<br>[sound:jva-0542_待たない.mp3]
Present Positive Polite<br>待つ	待ちます<br>(N1)<br>[sound:jva-0543_待ちます.mp3]
Present Negative Polite<br>待つ	待ちません<br>(N1)<br>[sound:jva-0544_待ちません.mp3]
Past Positive Plain<br>待つ	待った<br>(N1)<br>[sound:jva-0545_待った.mp3]
Past Negative Plain<br>待つ	待たなかった<br>(N1)<br>[sound:jva-0546_待たなかった.mp3]
Past Positive Polite<br>待つ	待ちました<br>(N1)<br>[sound:jva-0547_待ちました.mp3]
Past Negative Polite<br>待つ	待ちませんでした<br>(N1)<br>[sound:jva-0548_待ちませんでした.mp3]
-te Form<br>待つ	待って<br>(N1)<br>[sound:jva-0549_待って.mp3]
Volitional<br>待つ	待とう<br>(N1)<br>[sound:jva-0550_待とう.mp3]
Potential<br>待つ	待てる<br>(N1)<br>[sound:jva-0551_待てる.mp3]
Passive<br>待つ	待たれる<br>(N1)<br>[sound:jva-0552_待たれる.mp3]
Causative<br>待つ	待たせる<br>(N1)<br>[sound:jva-0553_待たせる.mp3]
Imperative<br>待つ	待て<br>(N1)<br>[sound:jva-0554_待て.mp3]
Conditional<br>待つ	待てば<br>(N1)<br>[sound:jva-0555_待てば.mp3]
Present Positive Plain<br>持つ	持つ<br>(N2)<br>[sound:jva-0556_持つ.mp3]
Present Negative Plain<br>持つ	持たない<br>(N2)<br>[sound:jva-0557_持たない.mp3]
Present Positive Polite<br>持つ	持ちます<br>(N2)<br>[sound:jva-0558_持ちます.mp3]
Present Negative Polite<br>持つ	持ちません<br>(N2)<br>[sound:jva-0559_持ちません.mp3]
Past Positive Plain<br>持つ	持った<br>(N2)<br>[sound:jva-0560_持った.mp3]
Past Negative Plain<br>持つ	持たなかった<br>(N2)<br>[sound:jva-0561_持たなかった.mp3]
Past Positive Polite<br>持つ	持ちました<br>(N2)<br>[sound:jva-0562_持ちました.mp3]
Past Negative Polite<br>持つ	持ちませんでした<br>(N2)<br>[sound:jva-0563_持ちませんでした.mp3]
-te Form<br>持つ	持って<br>(N2)<br>[sound:jva-0564_持って.mp3]
Volitional<br>持つ	持とう<br>(N2)<br>[sound:jva-0565_持とう.mp3]
Potential<br>持つ	持てる<br>(N2)<br>[sound:jva-0566_持てる.mp3]
Passive<br>持つ	持たれる<br>(N2)<br>[sound:jva-0567_持たれる.mp3]
Causative<br>持つ	持たせる<br>(N2)<br>[sound:jva-0568_持たせる.mp3]
Imperative<br>持つ	持て<br>(N2)<br>[sound:jva-0569_持て.mp3]
Conditional<br>持つ	持てば<br>(N2)<br>[sound:jva-0570_持てば.mp3]
Present Positive Plain<br>立つ	立つ<br>(N3)<br>[sound:jva-0571_立つ.mp3]
Present Negative Plain<br>立つ	立たない<br>(N3)<br>[sound:jva-0572_立たない.mp3]
Present Positive Polite<br>立つ	立ちます<br>(N3)<br>[sound:jva-0573_立ちます.mp3]
Present Negative Polite<br>立つ	立ちません<br>(N3)<br>[sound:jva-0574_立ちません.mp3]
Past Positive Plain<br>立つ	立った<br>(N3)<br>[sound:jva-0575_立った.mp3]
Past Negative Plain<br>立つ	立たなかった<br>(N3)<br>[sound:jva-0576_立たなかった.mp3]
Past Positive Polite<br>立つ	立ちました<br>(N3)<br>[sound:jva-0577_立ちました.mp3]
Past Negative Polite<br>立つ	立ちませんでした<br>(N3)<br>[sound:jva-0578_立ちませんでした.mp3]
-te Form<br>立つ	立って<br>(N3)<br>[sound:jva-0579_立って.mp3]
Volitional<br>立つ	立とう<br>(N3)<br>[sound:jva-0580_立とう.mp3]
Potential<br>立つ	立てる<br>(N3)<br>[sound:jva-0581_立てる.mp3]
Passive<br>立つ	立たれる<br>(N3)<br>[sound:jva-0582_立たれる.mp3]
Causative<br>立つ	立たせる<br>(N3)<br>[sound:jva-0583_立たせる.mp3]
Imperative<br>立つ	立て<br>(N3)<br>[sound:jva-0584_立て.mp3]
Conditional<br>立つ	立てば<br>(N3)<br>[sound:jva-0585_立てば.mp3]
Present Positive Plain<br>在る	在る<br>(O1)<br>[sound:jva-0586_在る.mp3]
Present Negative Plain<br>在る	在らない<br>(O1)<br>[sound:jva-0587_在らない.mp3]
Present Positive Polite<br>在る	在ります<br>(O1)<br>[sound:jva-0588_在ります.mp3]
Present Negative Polite<br>在る	在りません<br>(O1)<br>[sound:jva-0589_在りません.mp3]
Past Positive Plain<br>在る	在った<br>(O1)<br>[sound:jva-0590_在った.mp3]
Past Negative Plain<br>在る	在らなかった<br>(O1)<br>[sound:jva-0591_在らなかった.mp3]
Past Positive Polite<br>在る	在りました<br>(O1)<br>[sound:jva-0592_在りました.mp3]
Past Negative Polite<br>在る	在りませんでした<br>(O1)<br>[sound:jva-0593_在りませんでした.mp3]
-te Form<br>在る	在って<br>(O1)<br>[sound:jva-0594_在って.mp3]
Volitional<br>在る	在ろう<br>(O1)<br>[sound:jva-0595_在ろう.mp3]
Potential<br>在る	在れる<br>(O1)<br>[sound:jva-0596_在れる.mp3]
Passive<br>在る	在られる<br>(O1)<br>[sound:jva-0597_在られる.mp3]
Causative<br>在る	在らせる<br>(O1)<br>[sound:jva-0598_在らせる.mp3]
Imperative<br>在る	在れ<br>(O1)<br>[sound:jva-0599_在れ.mp3]
Conditional<br>在る	在れば<br>(O1)<br>[sound:jva-0600_在れば.mp3]
Present Positive Plain<br>問う	問う<br>(P1)<br>[sound:jva-0601_問う.mp3]
Present Negative Plain<br>問う	問わない<br>(P1)<br>[sound:jva-0602_問わない.mp3]
